strain	host	color
CD86	Pennisetum	maroon
Cr9010	Cyperus	orchid1
CrA8401	Cyperus	orchid1
DsLIZ	Digitaria	black
JA108	Urochloa	darkturquoise
JA109   Urochloa        darkturquoise
JA110   Urochloa        darkturquoise
JA118   Urochloa        darkturquoise
JA119   Urochloa        darkturquoise
JA121   Urochloa        darkturquoise
JA125   Urochloa        darkturquoise
JA158   Urochloa        darkturquoise
JA171	Panicum	green1
JA174	   Urochloa        darkturquoise
Pm1	Pennisetum	maroon
PmJA115	Panicum	green1
RN1	Zingiber	yellow4
T21	Triticum	blue1
T29	Triticum	blue1
T6	Triticum	blue1
U270	Leersia	deeppink1
U276	Eleusine	steelblue4
