CD86 	 MAGGY 	 0
Cr9010 	 MAGGY 	 0
CrA8401 	 MAGGY 	 0
DsLIZ 	 MAGGY 	 0
JA108 	 MAGGY 	 0
JA109 	 MAGGY 	 0
JA110 	 MAGGY 	 0
JA118 	 MAGGY 	 0
JA119 	 MAGGY 	 0
JA121 	 MAGGY 	 4865
JA125 	 MAGGY 	 0
JA158 	 MAGGY 	 0
JA171 	 MAGGY 	 243
JA174 	 MAGGY 	 5357
Pm1 	 MAGGY 	 4845
RN1 	 MAGGY 	 160
T21 	 MAGGY 	 243
T29 	 MAGGY 	 260816
T6 	 MAGGY 	 0
U270 	 MAGGY 	 243
U276 	 MAGGY 	 4129
CD86 	 MGL 	 72454
Cr9010 	 MGL 	 0
CrA8401 	 MGL 	 0
DsLIZ 	 MGL 	 109353
JA108 	 MGL 	 91298
JA109 	 MGL 	 80894
JA110 	 MGL 	 90778
JA118 	 MGL 	 90603
JA119 	 MGL 	 95534
JA121 	 MGL 	 103177
JA125 	 MGL 	 143899
JA158 	 MGL 	 23815
JA171 	 MGL 	 14803
JA174 	 MGL 	 21005
Pm1 	 MGL 	 68880
RN1 	 MGL 	 0
T21 	 MGL 	 168787
T29 	 MGL 	 335795
T6 	 MGL 	 114649
U270 	 MGL 	 80520
U276 	 MGL 	 105762
CD86 	 Pot. 	 89013
Cr9010 	 Pot. 	 727
CrA8401 	 Pot. 	 24258
DsLIZ 	 Pot. 	 55112
JA108 	 Pot. 	 61988
JA109 	 Pot. 	 50520
JA110 	 Pot. 	 61105
JA118 	 Pot. 	 60871
JA119 	 Pot. 	 68188
JA121 	 Pot. 	 55031
JA125 	 Pot. 	 94934
JA158 	 Pot. 	 19353
JA171 	 Pot. 	 23240
JA174 	 Pot. 	 3443
Pm1 	 Pot. 	 208883
RN1 	 Pot. 	 2470
T21 	 Pot. 	 90622
T29 	 Pot. 	 131812
T6 	 Pot. 	 61063
U270 	 Pot. 	 36063
U276 	 Pot. 	 108858
CD86 	 Pyret_1 	 42454
Cr9010 	 Pyret_1 	 23537
CrA8401 	 Pyret_1 	 1944
DsLIZ 	 Pyret_1 	 91750
JA108 	 Pyret_1 	 52630
JA109 	 Pyret_1 	 38719
JA110 	 Pyret_1 	 54802
JA118 	 Pyret_1 	 48292
JA119 	 Pyret_1 	 62325
JA121 	 Pyret_1 	 63789
JA125 	 Pyret_1 	 90218
JA158 	 Pyret_1 	 216745
JA171 	 Pyret_1 	 144126
JA174 	 Pyret_1 	 116372
Pm1 	 Pyret_1 	 259003
RN1 	 Pyret_1 	 6704
T21 	 Pyret_1 	 282015
T29 	 Pyret_1 	 882712
T6 	 Pyret_1 	 284376
U270 	 Pyret_1 	 154912
U276 	 Pyret_1 	 178207
CD86 	 RETRO5 	 18459
Cr9010 	 RETRO5 	 697
CrA8401 	 RETRO5 	 0
DsLIZ 	 RETRO5 	 442951
JA108 	 RETRO5 	 37302
JA109 	 RETRO5 	 29845
JA110 	 RETRO5 	 37441
JA118 	 RETRO5 	 28282
JA119 	 RETRO5 	 45100
JA121 	 RETRO5 	 43758
JA125 	 RETRO5 	 311113
JA158 	 RETRO5 	 27521
JA171 	 RETRO5 	 3174
JA174 	 RETRO5 	 26323
Pm1 	 RETRO5 	 1195546
RN1 	 RETRO5 	 20217
T21 	 RETRO5 	 119081
T29 	 RETRO5 	 139499
T6 	 RETRO5 	 106935
U270 	 RETRO5 	 123227
U276 	 RETRO5 	 47874
CD86 	 RETRO6.. 	 84959
Cr9010 	 RETRO6.. 	 169
CrA8401 	 RETRO6.. 	 514
DsLIZ 	 RETRO6.. 	 56169
JA108 	 RETRO6.. 	 220896
JA109 	 RETRO6.. 	 250448
JA110 	 RETRO6.. 	 227142
JA118 	 RETRO6.. 	 208752
JA119 	 RETRO6.. 	 246491
JA121 	 RETRO6.. 	 228989
JA125 	 RETRO6.. 	 66384
JA158 	 RETRO6.. 	 63546
JA171 	 RETRO6.. 	 84603
JA174 	 RETRO6.. 	 33649
Pm1 	 RETRO6.. 	 85398
RN1 	 RETRO6.. 	 2053
T21 	 RETRO6.. 	 327279
T29 	 RETRO6.. 	 230353
T6 	 RETRO6.. 	 237316
U270 	 RETRO6.. 	 169247
U276 	 RETRO6.. 	 154621
CD86 	 MGLR_3 	 35550
Cr9010 	 MGLR_3 	 0
CrA8401 	 MGLR_3 	 0
DsLIZ 	 MGLR_3 	 80754
JA108 	 MGLR_3 	 104997
JA109 	 MGLR_3 	 140927
JA110 	 MGLR_3 	 105943
JA118 	 MGLR_3 	 101908
JA119 	 MGLR_3 	 108801
JA121 	 MGLR_3 	 110745
JA125 	 MGLR_3 	 63026
JA158 	 MGLR_3 	 17995
JA171 	 MGLR_3 	 44042
JA174 	 MGLR_3 	 8105
Pm1 	 MGLR_3 	 24862
RN1 	 MGLR_3 	 262
T21 	 MGLR_3 	 65700
T29 	 MGLR_3 	 63459
T6 	 MGLR_3 	 69554
U270 	 MGLR_3 	 37829
U276 	 MGLR_3 	 95445
